表格ID：Custom_SinglePopulation
標題：五齡人口數
更新日期：2026.08.28
下載日期：2026.09.02 13:55
查詢年份：1992~2075
資料來源：國家發展委員會
中華民國人口推估
來源網址：https://pop-proj.ndc.gov.tw/Custom_Detail_Statistics_Search.aspx?n=39&_Query=dd898a76-e054-497c-9231-8d0be078995a

,,,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
推估情境,性別,年齡,統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人)
中推估,男性,0-4歲,848534,838993,836012,828904,828407,831971,804753,784903,776698,743975,704807,684174,650216,598086,571699,550561,536491,523013,503400,498746,511559,512213,520880,545209,550649,529720,522390,505739,479321,448275,420168,401133,381067,353613,321594,295240,269526,241913,226560,218538,213073,207233,201251,195327,189513,184100,179156,174755,170965,167829,165338,163463,162170,161377,160966,160805,160756,160665,160378,159755,158722,157216,155166,152583,149505,145981,142111,138031,133875,129527,125122,120769,116547,112503,108917,105780,103080,100799,98903,97347,96060,94986,94078,93298
中推估,男性,5-9歲,882271,863197,837095,832631,842803,849722,842641,848731,841773,842623,843183,812247,791835,783379,749063,709220,689226,656333,605233,579777,558811,543718,530701,510204,506111,521151,519411,528204,551328,551480,528980,528263,511337,483955,457548,428381,405214,385200,358792,326494,300047,274403,246921,231618,223613,218160,212335,206385,200502,194740,189388,184513,180190,176486,173447,171062,169301,168130,167461,167179,167144,167220,167252,167075,166556,165620,164201,162235,159727,156721,153268,149469,145455,141362,137067,132716,128424,124263,120281,116757,113685,111055,108837,107006
中推估,男性,10-14歲,1042014,1026965,1006634,971636,916435,871942,856638,830111,831160,842567,849202,840744,846780,839692,840418,841204,810883,790956,782666,748622,709152,689170,656183,605073,579306,558086,542920,529859,508411,500477,512976,517742,527548,550471,554299,533553,525843,508250,482049,456564,427946,405066,385145,358873,326741,300442,274931,247576,232356,224416,219023,213265,207380,201561,195864,190578,185772,181514,177878,174907,172586,170886,169769,169155,168924,168938,169062,169138,169006,168533,167644,166272,164354,161899,158942,155544,151791,147825,143781,139537,135235,130988,126869,122930
中推估,男性,15-19歲,955702,977797,1011303,1032061,1027808,1034479,1022518,997692,964868,910170,866630,850160,823881,825590,837559,844751,837112,843652,836734,837814,839044,809139,789321,781104,747320,707868,687961,655005,602819,574085,551330,541235,528930,507119,502236,516592,514747,523684,547698,552550,532511,525133,507616,481521,456135,427628,404846,385011,358847,326835,300639,275226,247980,232833,224945,219597,213888,208048,202282,196635,191395,186635,182425,178831,175902,173622,171955,170869,170281,170076,170116,170268,170370,170261,169814,168946,167603,165713,163286,160359,156987,153262,149323,145306
中推估,男性,20-24歲,952881,939178,922677,911104,935259,948608,972277,1002156,1023835,1018859,1026165,1012438,988195,956187,902971,860639,845169,819263,821067,832933,840354,833182,839945,833406,834607,835784,806031,786337,777563,741685,701233,684099,651847,600272,574192,552905,537679,524649,504358,500334,515152,513610,522550,546504,551379,531453,524137,506717,480751,455490,427119,404447,384714,358671,326796,300716,275418,248290,233227,225397,220100,214441,208651,202932,197331,192136,187422,183250,179697,176803,174552,172911,171856,171299,171117,171181,171350,171471,171380,170952,170105,168782,166919,164513
中推估,男性,25-29歲,990251,978571,967512,962374,946727,940902,928765,915210,905239,930094,943791,967088,996749,1018399,1014502,1022008,1009260,985114,953304,899967,857626,842171,816522,818133,829814,836819,829259,835899,828469,825351,824703,800683,781870,773172,739261,700126,680385,647767,597104,571777,550958,536006,523076,502907,498941,513750,512251,521197,545104,550004,530189,522942,505625,479785,454649,426410,403850,384216,358289,326553,300588,275397,248385,233393,225612,220354,214737,208985,203303,197739,192582,187899,183760,180235,177366,175138,173523,172488,171949,171782,171858,172037,172167,172091
中推估,男性,30-34歲,983486,994422,999784,999400,996496,980473,971092,962506,957030,943317,936397,921888,907862,897966,923631,937762,961387,990622,1012113,1007873,1015792,1003345,979985,948459,895355,852994,837430,811836,812698,819451,823488,823350,831003,823739,824394,825284,795813,776478,768697,735706,697212,677804,645405,595040,569887,549216,534386,521562,501524,497624,512433,510988,519952,543822,548750,529052,521874,504661,478950,453933,425819,403369,383829,358016,326404,300546,275452,248541,233615,225877,220654,215075,209360,203709,198178,193052,188402,184287,180783,177937,175728,174132,173114,172587
中推估,男性,35-39歲,892329,912226,932906,945331,954943,975340,989035,992806,990211,988598,971469,960123,951254,945670,932908,926562,913095,899207,889468,914496,928490,952401,982359,1004245,1000692,1009075,996693,973587,941428,884401,839523,831586,807507,808771,819757,826349,818590,824976,818409,819674,820992,791970,772877,765279,732589,694426,675211,643069,593060,568121,547640,532962,520275,500393,496589,511424,510062,519068,542909,547885,528334,521240,504146,478583,453715,425745,403419,383995,358305,326833,301087,276101,249308,234458,226775,221596,216057,210382,204774,199281,194195,189574,185490,182015
中推估,男性,40-44歲,722576,770835,810417,848300,865339,878916,900056,919603,931580,941127,960079,971638,975195,972854,972298,956057,945857,937285,932140,919426,912991,899869,886945,877836,903230,917671,941853,972012,993290,985293,990550,986636,965271,934500,882142,840492,825411,800190,801576,812806,819620,812217,818719,812420,813862,815357,786713,767937,760597,728316,690611,671635,639847,590362,565731,545527,531070,518583,498916,495257,510155,508910,517977,541751,546781,527454,520464,503539,478193,453534,425779,403632,384381,358871,327598,302010,277186,250578,235848,228244,223127,217651,212036,206486
中推估,男性,45-49歲,451477,471877,508108,568978,646207,705103,753418,791357,829386,846586,858992,877898,896871,908705,919910,938532,950823,954649,952466,951201,935207,925294,917741,913117,901383,895576,882891,870707,861418,882337,893304,925136,956248,978049,975114,983692,971917,949537,919492,868351,827713,813223,788657,790299,801527,808414,801359,807942,801954,803569,805234,777088,758724,751698,719983,682941,664275,632993,584297,560103,540289,526128,513902,494527,491040,505966,504835,513915,537480,542529,523518,516634,499950,474931,450602,423179,401306,382322,357092,326151,300824,276276,249984,235440
中推估,男性,50-54歲,443183,447587,444463,426680,415574,426471,449997,489804,550932,627410,683753,729037,765796,803078,821251,833832,853304,872033,883709,893621,912094,923924,927927,926100,924716,909365,900275,893605,888663,873204,864564,859477,848743,840213,865531,879916,903533,932891,954470,951950,960556,949286,927662,898504,848727,809268,795420,771660,773535,784658,791548,784871,791463,785816,787571,789376,761895,744055,737390,706451,670310,652056,621488,573928,550332,531045,517268,505382,486414,483124,497979,496954,505976,529152,534167,515602,508856,492520,467999,444165,417259,395809,377227,352449
中推估,男性,55-59歲,389203,389157,390779,400396,408932,414295,421175,421673,405574,397003,407786,429830,468133,527088,602280,657109,701768,737598,773674,790656,803377,822075,840614,851684,861044,878847,890359,894467,892095,886769,868925,866736,861080,856943,846969,842103,830806,819740,812098,836854,850940,874011,902650,923709,921599,930140,919446,898750,870706,822673,784696,771599,748826,750919,761858,768703,762456,769019,763756,765645,767583,740975,723794,717537,687599,652624,634933,605310,559220,536397,517767,504472,493005,474585,471508,486165,485251,494138,516770,521722,503727,497183,481315,457469
中推估,男性,60-64歲,413629,401476,385289,370095,357729,355662,357588,363324,372741,382731,388001,394429,395322,380324,373307,384466,406629,443885,500740,571994,624453,666914,701675,736337,752645,764913,782721,800678,809910,813629,827663,845099,849692,847888,847569,834086,826435,820924,817917,808703,804302,793877,783723,776865,801096,814953,837437,865235,885713,884148,892658,882721,863206,836570,790712,754559,742379,720823,723190,733944,740766,735059,741616,736829,738903,741022,715513,699148,693377,664664,631104,614130,585651,541308,519408,501560,488842,477881,460141,457311,471695,470924,479666,501676
中推估,男性,65-69歲,342974,361512,374358,380492,379841,372322,359898,346812,333391,323539,322139,324142,330091,339262,349809,355601,362704,364463,351553,345490,356836,378513,413584,466819,533682,582609,622955,655667,687090,696974,706423,729215,746500,755618,763869,779561,789971,794193,793729,793836,781656,775166,770754,768643,760673,757053,747858,738929,733126,756818,770476,792320,819161,838992,838187,846727,837774,819762,794896,751731,717858,706862,686845,689623,700193,707032,702032,708619,704458,706800,709179,685003,669635,664490,637265,605421,589293,562183,519946,499157,482261,470249,459906,442973
中推估,男性,70-74歲,219690,232766,247589,264749,277751,292130,308800,320675,326658,326319,320449,309833,299144,288316,281052,280289,282905,289278,298770,308671,315219,322248,324075,313098,307929,318877,339426,372358,420487,476519,518346,560094,589929,619521,633514,643680,658543,673837,683121,691486,706477,716870,721745,722302,723400,713169,708311,705321,704363,697996,695351,687739,680393,675975,699012,712389,733388,758968,777898,778097,786632,778925,762856,740249,700556,669657,660259,642280,645630,655924,662741,658678,665277,661944,664616,667328,644826,630740,626442,601141,571548,556453,531100,491651
中推估,男性,75-79歲,123100,128111,134194,143043,155747,167889,179024,190909,205981,218110,230394,244424,254807,260601,262137,258048,250143,242555,234614,229209,229340,232756,239096,247645,256390,262498,268919,271662,262423,256442,264996,285379,314904,356952,408835,446007,476987,502007,527958,541586,551514,565529,579918,589287,597863,611975,622221,627648,629254,631371,623427,620436,619043,619340,614841,613283,607554,602100,599306,621229,634004,653663,677341,694860,696198,704532,698325,684715,665026,629929,602979,595643,580313,584314,594086,600742,597859,604341,602042,605060,608112,587825,575442,572249
中推估,男性,80-84歲,58049,64618,70333,74364,77128,79065,82971,87710,94920,105011,114146,122381,131554,143274,153915,163045,173879,182732,188509,189644,187308,182091,176602,171347,167699,168622,171621,177638,185500,192117,195255,201014,203244,196895,195210,205465,221422,245718,279062,320730,350796,375870,396274,417647,429819,438616,450827,463419,472232,480418,492753,502145,507618,509908,512680,507060,505882,505992,507380,504792,504091,500323,496884,495796,515773,527263,544582,565113,580121,582549,590050,585394,574724,558628,529548,507794,503083,491258,495897,504513,510531,509040,514968,513868
中推估,男性,85-89歲,18389,19452,21409,23301,25113,29977,33535,36476,38710,41096,42843,45323,48850,53381,60585,65869,70921,76946,85006,92019,98577,105360,110329,114167,114543,113012,109888,106901,104537,102595,101502,103398,107645,113102,119694,124593,129491,131724,128121,127506,135431,147431,164928,187601,216074,236550,253569,267598,282568,292029,298646,307857,317444,324735,331586,340922,348440,353190,355613,358493,355198,355625,356931,359008,358196,358068,356266,354847,355316,371754,380775,394185,409725,420749,423841,429605,426545,419378,407842,386784,371808,370084,362542,367337
中推估,男性,90-94歲,4186,4619,5198,5738,6278,6951,7485,8311,9168,10045,12364,14162,15551,16760,18114,18087,19429,21348,23822,26964,30022,32648,35264,39070,42154,44987,48077,50353,52093,52177,49654,47217,45718,44864,44980,46274,48041,50853,54107,57375,59718,62121,63285,61406,61437,66203,73104,82616,94022,108631,119051,127750,135175,143433,149335,153286,158838,164686,169537,174130,179773,184628,187957,189951,192318,191074,192395,194151,196205,196567,196788,196539,196624,197922,208946,214510,222745,232042,238315,241084,244495,242868,239151,232569
中推估,男性,95-99歲,606,680,808,905,1078,1271,1423,1611,1807,1994,2213,2421,2713,2944,3293,4120,4435,4825,5201,5524,5752,6225,6771,7552,8597,9585,10265,10985,12345,13336,13356,13627,13903,14323,13995,13602,13193,12916,12916,13091,13562,14150,15089,16165,17199,17900,18636,18993,18318,18499,20429,23082,26545,30406,35471,39044,42058,44759,47902,50413,52036,54369,56858,59072,61173,63553,65734,67327,68393,69673,69473,70515,71683,72885,73378,73579,73841,74285,75267,80428,82694,86132,89915,92257
中推估,男性,100歲以上,79,122,164,175,203,275,319,348,388,477,606,682,786,884,1005,1005,931,977,1036,1027,1315,1418,1452,1442,1404,1521,1568,1687,1877,2099,2197,2148,2207,2421,2444,2441,2455,2480,2527,2518,2464,2412,2383,2408,2449,2532,2632,2796,2990,3186,3339,3520,3657,3614,3756,4244,4867,5637,6446,7565,8429,9224,10011,10933,11793,12399,13185,14016,14818,15586,16367,17151,17804,18329,18914,19124,19679,20220,20725,21052,21209,21483,21797,22229
中推估,女性,0-4歲,781019,775605,765620,761581,762568,767123,741136,722318,712544,682784,646022,625729,593723,546269,521243,502024,489715,479147,460693,458244,472124,474738,484246,507246,512414,492679,486589,470062,445981,417465,391565,373923,355460,330399,300075,274495,249387,222799,208513,201090,196582,191692,186327,180509,174761,169465,164595,160222,156406,153191,150566,148505,146975,145902,145171,144663,144248,143780,143114,142149,140828,139091,136874,134177,131035,127490,123635,119596,115500,111238,106939,102697,98595,94671,91188,88135,85506,83280,81427,79905,78652,77611,76736,75992
中推估,女性,5-9歲,826454,806601,778439,768728,772574,777293,771031,776547,773385,776341,778195,748799,729180,719557,688097,650560,630644,599594,553071,528609,509463,496255,486111,467314,465155,481281,481169,491118,512858,512941,492051,492373,476003,450842,426795,399523,377290,358698,334329,303686,278172,253477,227320,213024,205470,200877,195915,190489,184611,178814,173473,168561,164150,160305,157072,154430,152355,150812,149728,148991,148476,148057,147590,146935,145977,144660,142924,140707,138012,134872,131329,127480,123449,119365,115109,110824,106605,102530,98645,95204,92200,89619,87444,85644
中推估,女性,10-14歲,981055,968344,945781,912603,859756,816229,799201,771986,767533,773594,777483,769927,775348,772066,775111,777076,748244,728975,719248,687792,650568,630507,599179,552734,528246,508956,495748,485369,465497,459270,473429,479979,490971,512610,516557,496742,490121,472732,448680,425514,398923,377125,358705,334426,303885,278483,253881,227812,213563,206030,201447,196497,191083,185222,179438,174111,169215,164819,160990,157766,155136,153073,151540,150472,149751,149248,148842,148388,147750,146813,145519,143808,141619,138954,135846,132338,128526,124534,120492,116278,112036,107860,103833,99995
中推估,女性,15-19歲,908876,928393,957320,976274,971801,977774,966760,942560,910495,858177,814496,795888,768784,764664,771109,775575,768840,774675,771420,774423,776481,747813,728480,718731,687456,650204,630304,599136,551607,523649,503071,495262,485827,465983,462965,478502,478142,488015,510640,515475,496374,490155,472875,448859,425721,399188,377435,359045,334816,304341,278993,254437,228410,214181,206658,202079,197135,191732,185880,180106,174792,169911,165532,161717,158507,155893,153845,152328,151271,150564,150074,149680,149242,148621,147702,146427,144740,142574,139930,136845,133363,129577,125612,121599
中推估,女性,20-24歲,906796,892492,878044,868467,889555,902965,927993,956601,977952,973513,978706,964793,939894,908333,857516,814957,797136,770663,765670,771069,775225,768360,773938,770557,773542,775760,747078,727768,717320,683039,644631,628736,598473,551332,526593,507034,493642,483383,464686,462382,478419,478403,488318,510841,515621,496579,490357,473113,449155,426078,399610,377908,359572,335397,304994,279702,255204,229253,215065,207568,203000,198074,192694,186873,181126,175838,170983,166631,162842,159656,157069,155049,153556,152521,151836,151370,150997,150584,149989,149097,147852,146198,144063,141458
中推估,女性,25-29歲,943708,932646,924775,918641,904388,901768,892062,880849,873639,898649,912380,934343,961852,984102,984295,995008,985307,965727,933395,878871,830809,808320,776715,768294,772223,775391,768132,773555,769144,765891,767224,746104,728093,717522,685983,648321,627860,596548,550673,526682,507691,494692,484584,465913,463574,479526,479479,489321,511692,516421,497464,491243,474071,450217,427245,400897,379293,361045,336975,306723,281561,257206,231417,217332,209903,205391,200521,195199,189444,183767,178544,173755,169471,165749,162626,160104,158145,156713,155741,155116,154712,154399,154050,153521
中推估,女性,30-34歲,941089,951036,959865,958977,957824,942065,933424,927158,923495,912193,910956,899141,889075,883579,912357,929007,955283,991472,1016997,1015193,1023196,1010845,985507,949465,892212,840441,815508,782296,771245,766264,766445,768994,775514,771237,774127,776053,747159,727937,718565,687886,651105,631342,600486,554750,530748,511814,498839,488736,470128,467755,483565,483478,493223,515438,520108,501225,495014,477912,454169,431316,405123,383666,365559,341678,311646,286682,262519,236933,222989,215674,211265,206503,201295,195659,190107,185006,180337,176178,172585,169590,167197,165370,164069,163227
中推估,女性,35-39歲,857434,876875,901674,913049,922264,940571,954832,958278,958242,958222,942289,931722,926468,924556,917352,918842,910492,905787,902236,930095,945898,971681,1001868,1024829,1022480,1030464,1017209,991358,952846,886781,832960,817380,785530,775043,777010,778460,770297,775319,772383,775974,778761,750871,732194,722732,692048,655428,635720,604986,559457,535543,516666,503720,493635,475086,472688,488382,488268,497935,520005,524646,505874,499722,482751,459194,436527,410540,389263,371327,347647,317851,293099,269146,243782,230008,222834,218555,213931,208865,203375,197972,193024,188514,184513,181076
中推估,女性,40-44歲,692766,741550,784055,821938,838760,853954,875959,896277,908597,918228,935973,947625,951241,952202,955249,940956,932657,930830,930305,922634,924215,915802,907713,903196,930523,946420,972195,1002276,1023319,1012869,1019133,1015940,991692,954413,895588,843090,816943,783336,773819,776427,778654,771302,776691,773687,777130,779882,752144,733564,724145,693629,657216,637606,607042,561774,537987,519208,506323,496281,477828,475446,491073,490988,500645,522648,527319,508713,502660,485846,462484,440008,414232,393146,375386,351909,322349,297811,274067,248922,235310,228267,224112,219613,214678,209324
中推估,女性,45-49歲,435910,456068,492635,551629,629281,687336,736966,776424,815063,832299,847162,866629,886843,900035,912538,931153,945023,950826,952402,954537,939746,931020,927363,926007,918614,920566,912359,904621,898799,919349,934008,967449,998655,1020299,1017064,1024520,1011021,984919,948934,891385,840038,814703,781644,772184,774719,776950,769673,775046,772086,775527,778283,750747,732307,722974,692672,656511,637033,606674,561702,538081,519441,506665,496725,478432,476121,491712,491681,501339,523275,527978,509535,503574,486914,463744,441455,415883,394977,377376,354088,324747,300402,276852,251906,238437
中推估,女性,50-54歲,438999,443576,439224,421684,411471,422080,445194,484739,545257,623115,679977,727398,766611,805313,825295,841159,862593,883697,896683,907285,926068,939840,944225,945217,946932,932286,923919,920541,917980,904568,905619,904583,897970,893229,920024,935244,960158,989349,1011849,1009363,1017405,1004545,978918,943287,886246,835395,810356,777635,768328,770900,773170,766012,771401,768529,772003,774796,747501,729240,720027,689984,654121,634821,604715,560097,536688,518226,505589,495768,477635,475396,490956,490979,500639,522499,527232,508955,503087,486581,463599,441491,416110,395373,377922,354815
中推估,女性,55-59歲,380987,388944,398378,409795,419368,424799,430770,429154,412352,403732,414160,436233,475800,535893,614591,672051,720458,760244,798855,817458,833060,853482,873221,885662,895613,914005,927932,933118,932737,927991,913387,911937,909377,907970,900941,902851,894986,887440,883558,910442,925900,950930,980080,1002484,1000195,1008317,995743,970524,935380,879019,828784,804124,771834,762738,765385,767733,760750,766189,763444,766988,769858,742858,724826,715789,686057,650549,631458,601641,557420,534242,515973,503489,493794,475838,473674,489208,489291,498951,520735,525500,507398,501621,485266,462469
中推估,女性,60-64歲,323860,330204,336729,345121,351556,362918,373079,384148,395783,406304,411422,416895,415739,399992,392948,404197,427415,466877,526541,603327,659867,707033,745699,783336,801429,816892,837079,856841,867175,869767,887917,909622,915805,916393,918585,904843,897054,894033,893652,887115,889350,882003,874942,871435,898286,913827,938809,967849,990215,988263,996538,984360,959688,925173,869655,820197,796033,764287,755483,758251,760724,753982,759517,756963,760619,763602,736963,719211,710387,681022,645925,627071,597579,553805,530892,512852,500533,490982,473218,471142,486650,486797,496468,518167
中推估,女性,65-69歲,251206,263473,272780,283182,291627,300615,307840,316618,325651,332488,343363,353047,364301,376000,387384,393262,399815,399612,385297,379048,390644,413650,452297,510195,584539,639547,685621,723850,758749,768486,783315,811514,832364,844473,854233,872212,886128,891279,893018,895669,882783,875815,873497,873691,867846,870471,863751,857317,854375,881261,896937,921876,950782,973100,971641,980125,968481,944544,910871,856486,808088,784632,753649,745276,748206,750840,744447,750104,747810,751610,754742,728555,711166,702637,673753,639205,620635,591560,548401,525846,508108,496012,486648,469116
中推估,女性,70-74歲,180376,188456,196919,205377,212786,221874,234276,245233,255964,265028,273226,280141,289004,298044,305620,316716,326636,338240,350116,361279,367737,374216,374616,361402,356058,367601,390128,427808,481862,546437,597360,649234,687150,722942,740300,755016,774369,793616,806455,816906,835068,849391,855292,857839,861257,849624,843809,842429,843424,838562,841689,835852,830309,828166,855064,870880,895689,924327,946484,945724,954449,943551,920684,888246,835557,788764,766387,736563,728834,731964,734801,728928,734727,732809,736788,740112,714583,697725,689645,661496,627808,609650,581214,539047
中推估,女性,75-79歲,115916,118992,121847,127880,137675,146379,154546,163498,172188,180527,188790,199428,210010,219968,229363,237517,244753,253475,262595,269771,280443,290429,301294,312914,323404,329892,336566,337972,326070,319156,328734,353264,389384,440607,506587,555385,596623,631090,665157,683076,698163,717498,736705,750019,761123,779261,793907,800640,804155,808492,798539,794265,794111,796126,792578,796295,791644,787309,786248,812988,828837,853253,881279,902999,903199,912144,902296,881026,850478,800459,756221,735537,707547,700803,704163,707237,702152,708085,706712,710905,714456,689975,673966,666600
中推估,女性,80-84歲,66767,71098,75905,78211,79052,81484,84458,87909,93801,102837,110217,116899,124294,132174,140448,147906,157217,166676,175596,183798,191268,198069,205840,213993,220018,229610,238433,248977,259923,268252,272997,279753,281753,272604,270907,282893,303355,335760,381486,440097,483745,520758,551993,583021,600557,615177,633656,652157,665551,677026,694505,709035,716454,720871,726060,718174,715797,717085,720242,718346,722517,719336,716543,716846,742949,758463,781800,808353,828871,830324,839209,830739,811838,784184,738485,698444,680514,655569,650373,653871,657099,653231,659160,658575
中推估,女性,85-89歲,26180,27637,30381,32412,34942,38344,41241,43582,45555,47109,49593,52017,54861,59170,66251,71494,76488,82085,88264,94311,100306,107644,114632,121396,127228,132796,137846,143763,150891,155913,161331,167655,176097,185184,194424,201466,208183,211204,205484,205108,215962,233719,260786,297132,343928,378820,408461,433882,459324,475202,488123,504338,520805,533379,544483,560023,573462,581075,586080,591806,586487,586404,589268,593547,593618,597877,596481,595610,597539,621778,636001,656789,680102,697907,700807,708966,702361,687111,664142,625751,592817,579358,559441,556538
中推估,女性,90-94歲,7208,7618,8582,9186,10058,10907,11604,12735,13791,15177,16972,18562,19792,20875,22270,23720,25176,27016,29574,33242,36268,39326,42303,45853,49388,52465,56689,60746,65011,68318,69556,71816,75049,79273,83274,88774,94321,101263,108260,114266,118926,123376,125732,122481,123039,131301,144120,162688,185858,216136,238638,257841,274841,292203,304531,314153,326222,338736,348895,358156,369934,380656,387391,392190,397640,395148,397180,401144,405912,407702,411392,411747,412749,415987,435883,447082,462932,480347,493293,497166,503430,499037,488758,472576
中推估,女性,95-99歲,1195,1389,1556,1709,1949,2131,2327,2527,2757,2954,3293,3533,3930,4292,4844,5456,5846,6396,6865,7138,7833,8393,8992,10061,11408,12586,13583,14641,16092,17573,18067,18821,19902,21269,22104,23117,24627,26645,28973,31075,33633,36062,39050,42089,44591,46568,48485,49622,48247,48945,53461,60064,69094,79430,93253,103362,112021,120027,128458,135307,140360,146818,153702,159605,165113,171548,177750,181946,185089,188719,188105,190540,193850,197396,199345,201488,202474,204036,206953,219239,225455,234103,243387,249875
中推估,女性,100歲以上,212,258,333,330,380,442,484,518,578,646,692,739,787,859,939,957,942,1024,1075,1114,1284,1420,1543,1625,1664,1805,1932,2119,2365,2639,2704,2836,2958,3107,3253,3456,3665,4009,4389,4822,5231,5682,6207,6813,7373,8044,8691,9499,10334,11048,11704,12393,12969,12939,13495,15069,17153,19815,22613,26577,29706,32630,35627,38874,42049,44461,47349,50437,53313,56078,58933,61896,64282,66308,68523,69373,71402,73498,75512,77017,78134,79303,80710,82525
低推估,男性,0-4歲,848534,838993,836012,828904,828407,831971,804753,784903,776698,743975,704807,684174,650216,598086,571699,550561,536491,523013,503400,498746,511559,512213,520880,545209,550649,529720,522390,505739,479321,448275,420168,401133,381067,353613,320439,291947,263745,233369,215007,204991,198292,191344,184390,177626,171102,165121,159755,155095,151204,148103,145754,144079,142962,142268,141836,141504,141133,140591,139757,138519,136838,134690,132042,128905,125334,121388,117146,112719,108236,103808,99542,95522,91800,88412,85355,82623,80219,78149,76396,74938,73731,72727,71879,71142
低推估,男性,5-9歲,882271,863197,837095,832631,842803,849722,842641,848731,841773,842623,843183,812247,791835,783379,749063,709220,689226,656333,605233,579777,558811,543718,530701,510204,506111,521151,519411,528204,551328,551480,528980,528263,511337,483955,457548,428381,405214,385200,358792,325263,296628,268498,238255,219944,209945,203253,196322,189400,182675,176198,170272,164976,160396,156593,153594,151358,149802,148804,148229,147921,147709,147456,147029,146297,145157,143571,141511,138944,135878,132376,128498,124321,119957,115534,111172,106971,103022,99368,96048,93061,90393,88054,86042,84352
低推估,男性,10-14歲,1042014,1026965,1006634,971636,916435,871942,856638,830111,831160,842567,849202,840744,846780,839692,840418,841204,810883,790956,782666,748622,709152,689170,656183,605073,579306,558086,542920,529859,508411,500477,512976,517742,527548,550471,554299,533553,525843,508250,482049,456564,427946,405066,385145,358873,325516,297042,269054,238948,220736,210810,204187,197322,190465,183807,177401,171543,166313,161802,158070,155140,152966,151466,150524,150004,149747,149583,149379,149000,148316,147227,145689,143674,141156,138145,134692,130869,126741,122425,118052,113740,109591,105689,102081,98800
低推估,男性,15-19歲,955702,977797,1011303,1032061,1027808,1034479,1022518,997692,964868,910170,866630,850160,823881,825590,837559,844751,837112,843652,836734,837814,839044,809139,789321,781104,747320,707868,687961,655005,602819,574085,551330,541235,528930,507119,502236,516592,514747,523684,547698,552550,532511,525133,507616,481521,456135,427628,404846,385011,358847,325614,297247,269367,239377,221246,211377,204803,197990,191184,184578,178221,172410,167231,162766,159077,156190,154054,152585,151670,151175,150944,150808,150633,150283,149626,148566,147050,145063,142575,139591,136170,132374,128272,123984,119640
低推估,男性,20-24歲,952881,939178,922677,911104,935259,948608,972277,1002156,1023835,1018859,1026165,1012438,988195,956187,902971,860639,845169,819263,821067,832933,840354,833182,839945,833406,834607,835784,806031,786337,777563,741685,701233,684099,651847,600272,574192,552905,537679,524649,504358,500334,515152,513610,522550,546504,551379,531453,524137,506717,480751,455490,427119,404447,384714,358671,325578,297333,269576,239713,221673,211868,205348,198589,191836,185280,178970,173208,168074,163650,159999,157145,155040,153599,152708,152238,152028,151917,151763,151434,150798,149757,148263,146297,143838,140878
低推估,男性,25-29歲,990251,978571,967512,962374,946727,940902,928765,915210,905239,930094,943791,967088,996749,1018399,1014502,1022008,1009260,985114,953304,899967,857626,842171,816522,818133,829814,836819,829259,835899,828469,825351,824703,800683,781870,773172,739261,700126,680385,647767,597104,571777,550958,536006,523076,502907,498941,513750,512251,521197,545104,550004,530189,522942,505625,479785,454649,426410,403850,384216,358289,325338,297216,269573,239834,221874,212123,205648,198933,192221,185705,179435,173708,168605,164218,160597,157766,155686,154264,153387,152933,152740,152644,152504,152185,151564
低推估,男性,30-34歲,983486,994422,999784,999400,996496,980473,971092,962506,957030,943317,936397,921888,907862,897966,923631,937762,961387,990622,1012113,1007873,1015792,1003345,979985,948459,895355,852994,837430,811836,812698,819451,823488,823350,831003,823739,824394,825284,795813,776478,768697,735706,697212,677804,645405,595040,569887,549216,534386,521562,501524,497624,512433,510988,519952,543822,548750,529052,521874,504661,478950,453933,425819,403369,383829,358016,325195,297185,269647,240012,222127,212426,205990,199314,192637,186157,179925,174227,169156,164797,161197,158387,156322,154919,154061,153620
